code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
601858,N科传,出版业,北京,63.42,1.31,7.91,294155.75,0.0,0.0,0.0,0.0,0.116,2.99,3.29,20170118,0.0,0.0,0.0,0.0,0.0,8.5,120666
000782,美达股份,化纤,广东,0.0,4.03,5.28,230458.91,111478.85,96321.59,63823.15,1.21,-0.066,2.31,5.32,19970619,-667.39,-0.01,-21.51,-142.23,7.68,-2.02,60975
600425,青松建化,水泥,新疆,0.0,13.79,13.79,1093204.5,209830.7,574859.06,320171.16,2.32,-0.135,3.18,1.65,20030724,-32719.69,-0.24,1.24,35.81,10.75,-12.72,82199
600610,中毅达,建筑施工,上海,0.0,3.76,10.71,149591.16,133635.67,1236.21,38262.12,0.36,-0.01,1.07,10.08,19920805,-31210.08,-0.29,-17.64,-318.15,15.22,-14.38,109331
000619,海螺型材,其他建材,安徽,40.97,3.6,3.6,394282.97,219144.38,149002.22,44097.85,1.22,0.253,6.9,2.0,19961023,142867.94,3.97,-7.74,23.06,16.22,3.78,31465
300588,熙菱信息,软件服务,新疆,65.79,0.25,1.0,56614.28,51147.35,620.26,2811.37,0.28,0.191,2.53,6.63,20170105,8074.63,0.81,0.0,0.0,20.97,5.47,45028
603628,清源股份,电气设备,福建,49.46,0.68,2.74,117525.67,97856.28,13912.67,11301.3,0.41,0.178,2.6,4.51,20170112,20116.61,0.73,0.0,0.0,27.51,9.38,68468
603689,皖天然气,供气供热,安徽,72.59,0.84,3.36,270016.03,54422.36,0.0,0.0,0.0,0.207,4.34,4.63,20170110,0.0,0.0,-24.26,-32.14,0.0,4.58,72083
600507,方大特钢,特种钢,江西,17.45,13.26,13.26,813404.56,378230.78,244187.91,4625.16,0.03,0.349,1.85,4.4,20030930,70133.15,0.53,-4.42,189.27,19.92,7.67,47422
300593,新雷能,电气设备,北京,28.94,0.29,1.16,52312.09,40647.65,4011.13,8755.4,0.76,0.324,4.09,3.06,20170113,17059.2,1.48,9.45,16.91,47.09,14.05,51639
000885,同力水泥,水泥,河南,3283.03,4.27,4.75,607655.25,100493.93,319444.41,119025.63,2.51,0.005,4.61,4.29,19990319,40866.26,0.86,-10.47,-97.62,20.99,0.1,23748
002302,西部建设,水泥,新疆,44.51,10.32,10.32,1435055.38,1134878.13,236046.7,105263.17,1.02,0.176,4.02,2.59,20091103,196204.27,1.9,8.44,-20.67,11.86,2.25,25513
603186,华正新材,元器件,浙江,31.46,0.32,1.29,110635.36,75836.61,0.0,0.0,0.0,0.526,4.05,5.45,20170103,0.0,0.0,25.63,114.72,0.0,8.19,30121
603266,天龙股份,塑料,浙江,45.63,0.25,1.0,68048.63,46028.76,15840.17,4256.5,0.43,0.614,5.49,6.81,20170110,27635.02,2.76,15.93,43.05,29.97,10.67,25599
603039,泛微网络,软件服务,上海,38.15,0.17,0.67,66718.81,52756.69,10954.41,0.0,0.0,0.562,5.34,5.35,20170113,19836.93,2.98,0.0,0.0,1.87,12.78,15448
002824,和胜股份,铝,广东,34.73,0.3,1.2,60617.38,32629.4,20764.1,15127.51,1.26,0.446,4.49,4.6,20170112,14318.35,1.19,8.59,56.76,24.79,9.69,56644
