stk1,stk2,a,b
600590,600106,0,0
600590,603989,0,0
600590,2431,0,0
600590,906,0,0
600590,601636,0,0
600590,603300,0,0
600590,2597,0,0
600590,877,0,0
600590,600569,0,0
600590,2636,0,0
600590,600520,0,0
600590,300344,0,0
600590,300323,0,0
600590,2307,0,0
600590,550,0,0
600590,910,0,0
600590,659,0,0
600590,517,0,0
600590,2391,0,0
600590,600197,0,0
600590,2461,0,0
600590,858,0,0
600590,601233,0,0
600590,603789,0,0
600590,600209,0,0
600590,55,0,0
600590,651,0,0
600590,600817,0,0
600590,837,0,0
600590,600537,0,0
600590,498,0,0
600590,709,0,0
600590,300306,0,0
600590,600231,0,0
600590,603528,0,0
600590,2329,0,0
600590,2198,0,0
600590,601800,0,0
600590,600779,0,0
600590,601225,0,0
600590,600481,0,0
600590,2573,0,0
600590,2247,0,0
600590,895,0,0
600590,2686,0,0
600590,601118,0,0
600590,600178,0,0
600590,600598,0,0
600590,2405,0,0
600590,600647,0,0
600590,601588,0,0
600590,2651,0,0
600590,600801,0,0
600590,2451,0,0
600590,761,0,0
600590,300480,0,0
600590,708,0,0
600590,2333,0,0
600590,603268,0,0
600590,928,0,0
600590,603686,0,0
600590,300161,0,0
600590,791,0,0
600590,300267,0,0
600590,300238,0,0
600590,600808,0,0
600590,300184,0,0
600590,601933,0,0
600590,626,0,0
600590,600260,0,0
600590,600068,0,0
600590,600432,0,0
600590,736,0,0
600590,600230,0,0
600590,878,0,0
600590,600297,0,0
600590,600162,0,0
600590,600489,0,0
600590,601919,0,0
600590,995,0,0
600590,600583,0,0
600590,2168,0,0
600590,717,0,0
600590,826,0,0
600590,639,0,0
600590,585,0,0
600590,881,0,0
600590,620,0,0
600590,923,0,0
600590,2556,0,0
600590,2141,0,0
600590,600787,0,0
600590,338,0,0
600590,600019,0,0
600590,2677,0,0
600590,603819,0,0
600590,601111,0,0
600590,600697,0,0
600590,600350,0,0
600106,603989,0,0
600106,2431,0,0
600106,906,0,0
600106,601636,0,0
600106,603300,0,0
600106,2597,0,0
600106,877,0,0
600106,600569,0,0
600106,2636,0,0
600106,600520,0,0
600106,300344,0,0
600106,300323,0,0
600106,2307,0,0
600106,550,0,0
600106,910,0,0
600106,659,0,0
600106,517,0,0
600106,2391,0,0
600106,600197,0,0
600106,2461,0,0
600106,858,0,0
600106,601233,0,0
600106,603789,0,0
600106,600209,0,0
600106,55,0,0
600106,651,0,0
600106,600817,0,0
600106,837,0,0
600106,600537,0,0
600106,498,0,0
600106,709,0,0
600106,300306,0,0
600106,600231,0,0
600106,603528,0,0
600106,2329,0,0
600106,2198,0,0
600106,601800,0,0
600106,600779,0,0
600106,601225,0,0
600106,600481,0,0
600106,2573,0,0
600106,2247,0,0
600106,895,0,0
600106,2686,0,0
600106,601118,0,0
600106,600178,0,0
600106,600598,0,0
600106,2405,0,0
600106,600647,0,0
600106,601588,0,0
600106,2651,0,0
600106,600801,0,0
600106,2451,0,0
600106,761,0,0
600106,300480,0,0
600106,708,0,0
600106,2333,0,0
600106,603268,0,0
600106,928,0,0
600106,603686,0,0
600106,300161,0,0
600106,791,0,0
600106,300267,0,0
600106,300238,0,0
600106,600808,0,0
600106,300184,0,0
600106,601933,0,0
600106,626,0,0
600106,600260,0,0
600106,600068,0,0
600106,600432,0,0
600106,736,0,0
600106,600230,0,0
600106,878,0,0
600106,600297,0,0
600106,600162,0,0
600106,600489,0,0
600106,601919,0,0
600106,995,0,0
600106,600583,0,0
600106,2168,0,0
600106,717,0,0
600106,826,0,0
600106,639,0,0
600106,585,0,0
600106,881,0,0
600106,620,0,0
600106,923,0,0
600106,2556,0,0
600106,2141,0,0
600106,600787,0,0
600106,338,0,0
600106,600019,0,0
600106,2677,0,0
600106,603819,0,0
600106,601111,0,0
600106,600697,0,0
600106,600350,0,0
603989,2431,0,0
603989,906,0,0
603989,601636,0,0
603989,603300,0,0
603989,2597,0,0
603989,877,0,0
603989,600569,0,0
603989,2636,0,0
603989,600520,0,0
603989,300344,0,0
603989,300323,0,0
603989,2307,0,0
603989,550,0,0
603989,910,0,0
603989,659,0,0
603989,517,0,0
603989,2391,0,0
603989,600197,0,0
603989,2461,0,0
603989,858,0,0
603989,601233,0,0
603989,603789,0,0
603989,600209,0,0
603989,55,0,0
603989,651,0,0
603989,600817,0,0
603989,837,0,0
603989,600537,0,0
603989,498,0,0
603989,709,0,0
603989,300306,0,0
603989,600231,0,0
603989,603528,0,0
603989,2329,0,0
603989,2198,0,0
603989,601800,0,0
603989,600779,0,0
603989,601225,0,0
603989,600481,0,0
603989,2573,0,0
603989,2247,0,0
603989,895,0,0
603989,2686,0,0
603989,601118,0,0
603989,600178,0,0
603989,600598,0,0
603989,2405,0,0
603989,600647,0,0
603989,601588,0,0
603989,2651,0,0
603989,600801,0,0
603989,2451,0,0
603989,761,0,0
603989,300480,0,0
603989,708,0,0
603989,2333,0,0
603989,603268,0,0
603989,928,0,0
603989,603686,0,0
603989,300161,0,0
603989,791,0,0
603989,300267,0,0
603989,300238,0,0
603989,600808,0,0
603989,300184,0,0
603989,601933,0,0
603989,626,0,0
603989,600260,0,0
603989,600068,0,0
603989,600432,0,0
603989,736,0,0
603989,600230,0,0
603989,878,0,0
603989,600297,0,0
603989,600162,0,0
603989,600489,0,0
603989,601919,0,0
603989,995,0,0
603989,600583,0,0
603989,2168,0,0
603989,717,0,0
603989,826,0,0
603989,639,0,0
603989,585,0,0
603989,881,0,0
603989,620,0,0
603989,923,0,0
603989,2556,0,0
603989,2141,0,0
603989,600787,0,0
603989,338,0,0
603989,600019,0,0
603989,2677,0,0
603989,603819,0,0
603989,601111,0,0
603989,600697,0,0
603989,600350,0,0
2431,906,0,0
2431,601636,0,0
2431,603300,0,0
2431,2597,0,0
2431,877,0,0
2431,600569,0,0
2431,2636,0,0
2431,600520,0,0
2431,300344,0,0
2431,300323,0,0
2431,2307,0,0
2431,550,0,0
2431,910,0,0
