stk1,stk2,a,b
600590,600106,0,0
600590,603989,0,0
600590,002431,0,0
600590,000906,0,0
600590,601636,0,0
600590,603300,0,0
600590,002597,0,0
600590,000877,0,0
600590,600569,0,0
600590,002636,0,0
600590,600520,0,0
600590,300344,0,0
600590,300323,0,0
600590,002307,0,0
600590,000550,0,0
600590,000910,0,0
600590,000659,0,0
600590,000517,0,0
600590,002391,0,0
600590,600197,0,0
600590,002461,0,0
600590,000858,0,0
600590,601233,0,0
600590,603789,0,0
600590,600209,0,0
600590,000055,0,0
600590,000651,0,0
600590,600817,0,0
600590,000837,0,0
600590,600537,0,0
600590,000498,0,0
600590,000709,0,0
600590,300306,0,0
600590,600231,0,0
600590,603528,0,0
600590,002329,0,0
600590,002198,0,0
600590,601800,0,0
600590,600779,0,0
600590,601225,0,0
600590,600481,0,0
600590,002573,0,0
600590,002247,0,0
600590,000895,0,0
600590,002686,0,0
600590,601118,0,0
600590,600178,0,0
600590,600598,0,0
600590,002405,0,0
600590,600647,0,0
600590,601588,0,0
600590,002651,0,0
600590,600801,0,0
600590,002451,0,0
600590,000761,0,0
600590,300480,0,0
600590,000708,0,0
600590,002333,0,0
600590,603268,0,0
600590,000928,0,0
600590,603686,0,0
600590,300161,0,0
600590,000791,0,0
600590,300267,0,0
600590,300238,0,0
600590,600808,0,0
600590,300184,0,0
600590,601933,0,0
600590,000626,0,0
600590,600260,0,0
600590,600068,0,0
600590,600432,0,0
600590,000736,0,0
600590,600230,0,0
600590,000878,0,0
600590,600297,0,0
600590,600162,0,0
600590,600489,0,0
600590,601919,0,0
600590,000995,0,0
600590,600583,0,0
600590,002168,0,0
600590,000717,0,0
600590,000826,0,0
600590,000639,0,0
600590,000585,0,0
600590,000881,0,0
600590,000620,0,0
600590,000923,0,0
600590,002556,0,0
600590,002141,0,0
600590,600787,0,0
600590,000338,0,0
600590,600019,0,0
600590,002677,0,0
600590,603819,0,0
600590,601111,0,0
600590,600697,0,0
600590,600350,0,0
600590,002833,0,0
600590,000568,0,0
600590,000897,0,0
600590,000488,0,0
600590,002415,0,0
600590,603338,0,0
600590,601633,0,0
600590,000812,0,0
600590,000020,0,0
600590,002409,0,0
600590,603639,0,0
600590,000401,0,0
600590,002200,0,0
600590,601607,0,0
600590,000402,0,0
600590,600180,0,0
600590,603315,0,0
600590,603060,0,0
600590,002621,0,0
600590,600995,0,0
600590,600704,0,0
600590,000886,0,0
600590,601186,0,0
600590,600851,0,0
600590,600148,0,0
600590,000760,0,0
600590,603369,0,0
600590,600753,0,0
600590,300153,0,0
600590,000596,0,0
600590,600990,0,0
600590,603889,0,0
600590,600477,0,0
600590,601699,0,0
600590,002085,0,0
600590,002762,0,0
600590,002447,0,0
600590,002146,0,0
600590,300095,0,0
600590,000510,0,0
600590,000993,0,0
600590,300343,0,0
600590,000011,0,0
600590,600126,0,0
600590,000428,0,0
600590,002253,0,0
600590,600694,0,0
600590,000962,0,0
600590,002221,0,0
600590,600175,0,0
600590,601880,0,0
600590,600889,0,0
600590,600187,0,0
600590,002453,0,0
600590,002648,0,0
600590,600056,0,0
600590,000014,0,0
600590,600539,0,0
600590,000672,0,0
600590,600491,0,0
600590,601866,0,0
600590,300298,0,0
600590,601009,0,0
600590,002193,0,0
600590,000636,0,0
600590,601008,0,0
600590,002575,0,0
600590,300401,0,0
600590,002539,0,0
600590,600026,0,0
600590,600519,0,0
600590,002304,0,0
600590,600083,0,0
600590,600128,0,0
600590,002262,0,0
600590,002051,0,0
600590,600581,0,0
600590,000656,0,0
600590,002554,0,0
600590,002291,0,0
600590,000159,0,0
600590,601668,0,0
600590,002423,0,0
600590,600971,0,0
600590,000666,0,0
600590,000504,0,0
600590,300061,0,0
600590,000678,0,0
600590,300386,0,0
600590,300116,0,0
600590,600585,0,0
600590,600022,0,0
600590,300136,0,0
600590,300243,0,0
600590,000702,0,0
600590,600166,0,0
600590,600795,0,0
600590,002714,0,0
600590,002166,0,0
600590,300242,0,0
600590,000766,0,0
600590,002563,0,0
600590,002142,0,0
600590,603869,0,0
600590,600988,0,0
600590,600558,0,0
600590,601901,0,0
600590,000838,0,0
600590,000816,0,0
600590,002676,0,0
600590,600307,0,0
600590,002289,0,0
600590,600188,0,0
600590,600648,0,0
600590,002255,0,0
600590,600867,0,0
600590,600199,0,0
600590,002140,0,0
600590,002219,0,0
600590,600614,0,0
600590,600761,0,0
600590,600626,0,0
600590,002408,0,0
600590,601166,0,0
600590,603519,0,0
600590,000045,0,0
600590,002428,0,0
600590,000063,0,0
600590,000900,0,0
600590,600884,0,0
600590,600773,0,0
600590,000822,0,0
600590,600575,0,0
600590,600097,0,0
600590,002442,0,0
600590,002035,0,0
600590,601117,0,0
600590,600326,0,0
600590,002338,0,0
600590,002050,0,0
600590,600802,0,0
600590,000023,0,0
600590,600741,0,0
600590,000025,0,0
600590,002679,0,0
600590,000786,0,0
600590,600881,0,0
600590,600818,0,0
600590,000756,0,0
600590,300119,0,0
600590,600452,0,0
600590,600486,0,0
600590,600306,0,0
600590,000065,0,0
600590,600605,0,0
600590,601958,0,0
600590,600062,0,0
600590,603918,0,0
600590,600238,0,0
600590,300426,0,0
600590,002615,0,0
600590,002425,0,0
600590,002189,0,0
600590,002545,0,0
600590,600183,0,0
600590,300057,0,0
600590,601798,0,0
600590,600318,0,0
600590,000514,0,0
600590,600993,0,0
600590,002395,0,0
600590,600399,0,0
600590,600638,0,0
600590,001979,0,0
600590,002532,0,0
600590,000688,0,0
600590,300163,0,0
600590,002212,0,0
600590,601007,0,0
600590,600898,0,0
600590,002524,0,0
600590,600750,0,0
600590,300525,0,0
600590,600963,0,0
600590,601088,0,0
600590,002229,0,0
600590,600117,0,0
600590,000030,0,0
600590,601689,0,0
600590,000721,0,0
600590,000060,0,0
600590,600132,0,0
600590,000538,0,0
600590,600419,0,0
600590,002105,0,0
600590,600354,0,0
600590,300438,0,0
600590,300158,0,0
600590,000005,0,0
