stk1,stk2,a,b
600590,600106,0.25,0.23
600590,603989,0,0
600590,2431,0,0
600590,906,0,0
600590,601636,0,0
600590,603300,0,0
600590,2597,0,0
600590,877,0,0
600590,600569,0,0
600106,603989,0,0
600106,2431,0,0
600106,906,0,0
600106,601636,0,0
600106,603300,0,0
600106,2597,0,0
600106,877,0,0
600106,600569,0,0
603989,2431,0,0
603989,906,0,0
603989,601636,0,0
603989,603300,0,0
603989,2597,0,0
603989,877,0,0
603989,600569,0,0
2431,906,0,0
2431,601636,0,0
2431,603300,0,0
2431,2597,0,0
2431,877,0,0
2431,600569,0,0
906,601636,0,0
906,603300,0,0
906,2597,0,0
906,877,0,0
906,600569,0,0
601636,603300,0,0
601636,2597,0,0
601636,877,0,0
601636,600569,0,0
603300,2597,0,0
603300,877,0,0
603300,600569,0,0
2597,877,0,0
2597,600569,0,0
877,600569,0,0
