stk1,stk2,flag,a,b
600590,600106,0,0,0
600590,603989,0,0,0
600590,2431,0,0,0
600590,906,0,0,0
600590,601636,0,0,0
600590,603300,0,0,0
600590,2597,0,0,0
600590,877,0,0,0
600590,600569,0,0,0
600590,2636,0,0,0
600590,600520,0,0,0
600590,300344,0,0,0
600590,300323,0,0,0
600590,2307,0,0,0
600590,550,0,0,0
600590,910,0,0,0
600590,659,0,0,0
600590,517,0,0,0
600590,2391,0,0,0
600590,600197,0,0,0
600590,2461,0,0,0
600590,858,0,0,0
600590,601233,0,0,0
600590,603789,0,0,0
600590,600209,0,0,0
600590,55,0,0,0
600590,651,0,0,0
600590,600817,0,0,0
600590,837,0,0,0
600590,600537,0,0,0
600590,498,0,0,0
600590,709,0,0,0
600590,300306,0,0,0
600590,600231,0,0,0
600590,603528,0,0,0
600590,2329,0,0,0
600590,2198,0,0,0
600590,601800,0,0,0
600590,600779,0,0,0
600590,601225,0,0,0
600590,600481,0,0,0
600590,2573,0,0,0
600590,2247,0,0,0
600590,895,0,0,0
600590,2686,0,0,0
600590,601118,0,0,0
600590,600178,0,0,0
600590,600598,0,0,0
600590,2405,0,0,0
600590,600647,0,0,0
600590,601588,0,0,0
600590,2651,0,0,0
600590,600801,0,0,0
600590,2451,0,0,0
600590,761,0,0,0
600590,300480,0,0,0
600590,708,0,0,0
600590,2333,0,0,0
600590,603268,0,0,0
600590,928,0,0,0
600590,603686,0,0,0
600590,300161,0,0,0
600590,791,0,0,0
600590,300267,0,0,0
600590,300238,0,0,0
600590,600808,0,0,0
600590,300184,0,0,0
600590,601933,0,0,0
600590,626,0,0,0
600590,600260,0,0,0
600590,600068,0,0,0
600590,600432,0,0,0
600590,736,0,0,0
600590,600230,0,0,0
600590,878,0,0,0
600590,600297,0,0,0
600590,600162,0,0,0
600590,600489,0,0,0
600590,601919,0,0,0
600590,995,0,0,0
600590,600583,0,0,0
600590,2168,0,0,0
600590,717,0,0,0
600590,826,0,0,0
600590,639,0,0,0
600590,585,0,0,0
600590,881,0,0,0
600590,620,0,0,0
600590,923,0,0,0
600590,2556,0,0,0
600590,2141,0,0,0
600590,600787,0,0,0
600590,338,0,0,0
600590,600019,0,0,0
600590,2677,0,0,0
600590,603819,0,0,0
600590,601111,0,0,0
600590,600697,0,0,0
600590,600350,0,0,0
600590,2833,0,0,0
600590,568,0,0,0
600590,897,0,0,0
600590,488,0,0,0
600590,2415,0,0,0
600590,603338,0,0,0
600590,601633,0,0,0
600590,812,0,0,0
600590,20,0,0,0
600590,2409,0,0,0
600590,603639,0,0,0
600590,401,0,0,0
600590,2200,0,0,0
600590,601607,0,0,0
600590,402,0,0,0
600590,600180,0,0,0
600590,603315,0,0,0
600590,603060,0,0,0
600590,2621,0,0,0
600590,600995,0,0,0
600590,600704,0,0,0
600590,886,0,0,0
600590,601186,0,0,0
600590,600851,0,0,0
600590,600148,0,0,0
600590,760,0,0,0
600590,603369,0,0,0
600590,600753,0,0,0
600590,300153,0,0,0
600590,596,0,0,0
600590,600990,0,0,0
600590,603889,0,0,0
600590,600477,0,0,0
600590,601699,0,0,0
600590,2085,0,0,0
600590,2762,0,0,0
600590,2447,0,0,0
600590,2146,0,0,0
600590,300095,0,0,0
600590,510,0,0,0
600590,993,0,0,0
600590,300343,0,0,0
600590,11,0,0,0
600590,600126,0,0,0
600590,428,0,0,0
600590,2253,0,0,0
600590,600694,0,0,0
600590,962,0,0,0
600590,2221,0,0,0
600590,600175,0,0,0
600590,601880,0,0,0
600590,600889,0,0,0
600590,600187,0,0,0
600590,2453,0,0,0
600590,2648,0,0,0
600590,600056,0,0,0
600590,14,0,0,0
600590,600539,0,0,0
600590,672,0,0,0
600590,600491,0,0,0
600590,601866,0,0,0
600590,300298,0,0,0
600590,601009,0,0,0
600590,2193,0,0,0
600590,636,0,0,0
600590,601008,0,0,0
600590,2575,0,0,0
600590,300401,0,0,0
600590,2539,0,0,0
600590,600026,0,0,0
600590,600519,0,0,0
600590,2304,0,0,0
600590,600083,0,0,0
600590,600128,0,0,0
600590,2262,0,0,0
600590,2051,0,0,0
600590,600581,0,0,0
600590,656,0,0,0
600590,2554,0,0,0
600590,2291,0,0,0
600590,159,0,0,0
600590,601668,0,0,0
600590,2423,0,0,0
600590,600971,0,0,0
600590,666,0,0,0
600590,504,0,0,0
600590,300061,0,0,0
600590,678,0,0,0
600590,300386,0,0,0
600590,300116,0,0,0
600590,600585,0,0,0
600590,600022,0,0,0
600590,300136,0,0,0
600590,300243,0,0,0
600590,702,0,0,0
600590,600166,0,0,0
600590,600795,0,0,0
600590,2714,0,0,0
600590,2166,0,0,0
600590,300242,0,0,0
600590,766,0,0,0
600590,2563,0,0,0
600590,2142,0,0,0
600590,603869,0,0,0
600590,600988,0,0,0
600590,600558,0,0,0
600590,601901,0,0,0
600590,838,0,0,0
600590,816,0,0,0
600590,2676,0,0,0
600590,600307,0,0,0
600590,2289,0,0,0
600590,600188,0,0,0
600590,600648,0,0,0
600590,2255,0,0,0
600590,600867,0,0,0
600590,600199,0,0,0
600590,2140,0,0,0
600590,2219,0,0,0
600590,600614,0,0,0
600590,600761,0,0,0
600590,600626,0,0,0
600590,2408,0,0,0
600590,601166,0,0,0
600590,603519,0,0,0
600590,45,0,0,0
600590,2428,0,0,0
600590,63,0,0,0
600590,900,0,0,0
600590,600884,0,0,0
600590,600773,0,0,0
600590,822,0,0,0
600590,600575,0,0,0
600590,600097,0,0,0
600590,2442,0,0,0
600590,2035,0,0,0
600590,601117,0,0,0
600590,600326,0,0,0
600590,2338,0,0,0
600590,2050,0,0,0
600590,600802,0,0,0
600590,23,0,0,0
600590,600741,0,0,0
600590,25,0,0,0
600590,2679,0,0,0
600590,786,0,0,0
600590,600881,0,0,0
600590,600818,0,0,0
600590,756,0,0,0
600590,300119,0,0,0
600590,600452,0,0,0
600590,600486,0,0,0
600590,600306,0,0,0
600590,65,0,0,0
600590,600605,0,0,0
600590,601958,0,0,0
600590,600062,0,0,0
600590,603918,0,0,0
600590,600238,0,0,0
600590,300426,0,0,0
600590,2615,0,0,0
600590,2425,0,0,0
600590,2189,0,0,0
600590,2545,0,0,0
600590,600183,0,0,0
600590,300057,0,0,0
600590,601798,0,0,0
600590,600318,0,0,0
600590,514,0,0,0
600590,600993,0,0,0
600590,2395,0,0,0
600590,600399,0,0,0
600590,600638,0,0,0
600590,1979,0,0,0
600590,2532,0,0,0
600590,688,0,0,0
600590,300163,0,0,0
600590,2212,0,0,0
600590,601007,0,0,0
600590,600898,0,0,0
600590,2524,0,0,0
600590,600750,0,0,0
600590,300525,0,0,0
600590,600963,0,0,0
600590,601088,0,0,0
600590,2229,0,0,0
600590,600117,0,0,0
600590,30,0,0,0
600590,601689,0,0,0
600590,721,0,0,0
600590,60,0,0,0
600590,600132,0,0,0
600590,538,0,0,0
600590,600419,0,0,0
600590,2105,0,0,0
600590,600354,0,0,0
600590,300438,0,0,0
600590,300158,0,0,0
600590,5,0,0,0
600590,600980,0,0,0
600590,600015,0,0,0
600590,600089,0,0,0
600590,600383,0,0,0
600590,300360,0,0,0
600590,611,0,0,0
600590,603077,0,0,0
600590,600104,0,0,0
600590,600010,0,0,0
600590,601898,0,0,0
600590,2422,0,0,0
600590,300313,0,0,0
600590,980,0,0,0
600590,2672,0,0,0
600590,2430,0,0,0
600590,300577,0,0,0
600590,601998,0,0,0
600590,600559,0,0,0
600590,600054,0,0,0
600590,2387,0,0,0
600590,600262,0,0,0
600590,2343,0,0,0
600590,2334,0,0,0
600590,89,0,0,0
600590,778,0,0,0
600590,600820,0,0,0
600590,429,0,0,0
600590,600495,0,0,0
600590,2155,0,0,0
600590,600468,0,0,0
600590,622,0,0,0
600590,600755,0,0,0
600590,889,0,0,0
600590,2174,0,0,0
600590,2456,0,0,0
600590,612,0,0,0
600590,600393,0,0,0
600590,300278,0,0,0
600590,2246,0,0,0
600590,2036,0,0,0
600590,600885,0,0,0
600590,600234,0,0,0
600590,300089,0,0,0
600590,627,0,0,0
600590,2719,0,0,0
600590,2266,0,0,0
600590,2416,0,0,0
600590,595,0,0,0
600590,600200,0,0,0
600590,600765,0,0,0
600590,603800,0,0,0
600590,625,0,0,0
600590,600038,0,0,0
600590,600076,0,0,0
600590,600050,0,0,0
600590,600769,0,0,0
600590,600202,0,0,0
600590,600375,0,0,0
600590,600720,0,0,0
600590,968,0,0,0
600590,2209,0,0,0
600590,2134,0,0,0
600590,605,0,0,0
600590,576,0,0,0
600590,300294,0,0,0
600590,600332,0,0,0
600590,600693,0,0,0
600590,600608,0,0,0
600590,600376,0,0,0
600590,600279,0,0,0
600590,2595,0,0,0
600590,300364,0,0,0
600590,2202,0,0,0
600590,2653,0,0,0
600590,600120,0,0,0
600590,589,0,0,0
600590,929,0,0,0
600590,601012,0,0,0
600590,2657,0,0,0
600590,937,0,0,0
600590,2530,0,0,0
600590,600069,0,0,0
600590,600265,0,0,0
600590,603008,0,0,0
600590,600295,0,0,0
600590,600811,0,0,0
600590,600643,0,0,0
600590,600064,0,0,0
600590,600299,0,0,0
600590,426,0,0,0
600590,831,0,0,0
600590,613,0,0,0
600590,600739,0,0,0
600590,601872,0,0,0
600590,909,0,0,0
600590,333,0,0,0
600590,2755,0,0,0
600590,2478,0,0,0
600590,2242,0,0,0
600590,999,0,0,0
600590,300016,0,0,0
600590,739,0,0,0
600590,2217,0,0,0
600590,860,0,0,0
600590,581,0,0,0
600590,600121,0,0,0
600590,2484,0,0,0
600590,2210,0,0,0
600590,600798,0,0,0
600590,600036,0,0,0
600590,601818,0,0,0
600590,2435,0,0,0
600590,300228,0,0,0
600590,600666,0,0,0
600590,600298,0,0,0
600590,2434,0,0,0
600590,600565,0,0,0
600590,2271,0,0,0
600590,600547,0,0,0
600590,600081,0,0,0
600590,2702,0,0,0
600590,663,0,0,0
600590,546,0,0,0
600590,601518,0,0,0
600590,603025,0,0,0
600590,600449,0,0,0
600590,2046,0,0,0
600590,2723,0,0,0
600590,601669,0,0,0
600590,2288,0,0,0
600590,601992,0,0,0
600590,600823,0,0,0
600590,300408,0,0,0
600590,797,0,0,0
600590,601069,0,0,0
600590,601566,0,0,0
600590,600467,0,0,0
600590,600098,0,0,0
600590,601169,0,0,0
600590,601888,0,0,0
600590,2323,0,0,0
600590,600267,0,0,0
600590,628,0,0,0
600590,603609,0,0,0
600590,2310,0,0,0
600590,600122,0,0,0
600590,600335,0,0,0
600590,2552,0,0,0
600590,2236,0,0,0
600590,2510,0,0,0
600590,600289,0,0,0
600590,601336,0,0,0
600590,2059,0,0,0
600590,528,0,0,0
600590,601377,0,0,0
600590,600428,0,0,0
