stk1,stk2,flag,a,b
600860,601107,0,0,0
600860,300251,0,0,0
600860,582,0,0,0
600860,600717,0,0,0
600860,603859,0,0,0
600860,600159,0,0,0
600860,1896,0,0,0
600860,603167,0,0,0
600860,600149,0,0,0
600860,601608,0,0,0
600860,600809,0,0,0
600860,300402,0,0,0
600860,600403,0,0,0
600860,600508,0,0,0
600860,600792,0,0,0
600860,600110,0,0,0
600860,600018,0,0,0
600860,652,0,0,0
600860,600160,0,0,0
600860,600830,0,0,0
600860,600999,0,0,0
600860,300269,0,0,0
600860,848,0,0,0
600860,300090,0,0,0
600860,300390,0,0,0
600860,2501,0,0,0
600860,61,0,0,0
600860,601001,0,0,0
600860,544,0,0,0
601107,300251,0,0,0
601107,582,0,0,0
601107,600717,0,0,0
601107,603859,0,0,0
601107,600159,0,0,0
601107,1896,0,0,0
601107,603167,0,0,0
601107,600149,0,0,0
601107,601608,0,0,0
601107,600809,0,0,0
601107,300402,0,0,0
601107,600403,0,0,0
601107,600508,0,0,0
601107,600792,0,0,0
601107,600110,0,0,0
601107,600018,0,0,0
601107,652,0,0,0
601107,600160,0,0,0
601107,600830,0,0,0
601107,600999,0,0,0
601107,300269,0,0,0
601107,848,0,0,0
601107,300090,0,0,0
601107,300390,0,0,0
601107,2501,0,0,0
601107,61,0,0,0
601107,601001,0,0,0
601107,544,0,0,0
300251,582,0,0,0
300251,600717,0,0,0
300251,603859,0,0,0
300251,600159,0,0,0
300251,1896,0,0,0
300251,603167,0,0,0
300251,600149,0,0,0
300251,601608,0,0,0
300251,600809,0,0,0
300251,300402,0,0,0
300251,600403,0,0,0
300251,600508,0,0,0
300251,600792,0,0,0
300251,600110,0,0,0
300251,600018,0,0,0
300251,652,0,0,0
300251,600160,0,0,0
300251,600830,0,0,0
300251,600999,0,0,0
300251,300269,0,0,0
300251,848,0,0,0
300251,300090,0,0,0
300251,300390,0,0,0
300251,2501,0,0,0
300251,61,0,0,0
300251,601001,0,0,0
300251,544,0,0,0
582,600717,0,0,0
582,603859,0,0,0
582,600159,0,0,0
582,1896,0,0,0
582,603167,0,0,0
582,600149,0,0,0
582,601608,0,0,0
582,600809,0,0,0
582,300402,0,0,0
582,600403,0,0,0
582,600508,0,0,0
582,600792,0,0,0
582,600110,0,0,0
582,600018,0,0,0
