stk1,stk2,flag,a,b
600590,600106,1,-0.3694055404268725,0.569299105227448
600590,603989,0,-0.27997681542446246,1.8285369641469569
600590,2431,0,-0.36130472280994297,0.7367893625858206
600590,906,0,-0.32279604293187103,1.3977356872327527
600590,601636,0,-0.39357224455118955,0.26378858274498446
600590,603300,0,2.9859158904481666,0.5231907474807616
600590,2597,1,-0.3645488853735254,0.6343762529808391
600590,877,1,-0.3646791629695378,0.6452980407752377
600590,600569,1,-0.3892589154723334,0.3256544160076333
600590,2636,1,-0.3801822836292218,0.7340186802799028
600590,600520,1,-0.31944293468573065,1.5389354891445812
600590,300344,1,-0.3532575943036914,0.8494469527309777
600590,300323,0,-0.372461231088312,0.6578942497688338
600590,2307,0,-0.35632348593172813,0.8052964951221706
600590,550,0,-0.21253792091551646,2.6480876358459535
600590,910,1,-0.3428398467560872,0.9327268672625263
600590,659,1,-0.3789989799208556,0.44539809669304065
600590,517,1,-0.3900463169023405,0.3444065959049929
600590,2391,1,-0.33524710737800645,1.0259121556438913
600590,600197,0,-0.3496451502024944,0.8774916147159164
600590,2461,0,-0.3438620267228867,1.1477206220100746
600590,858,0,-0.2812891969324183,1.5932799093111554
600590,601233,1,-0.3378682314049101,0.9963563057279681
600590,603789,0,-1.0261489717897603,2.3526635302498797
600590,600209,1,-0.34133661146199784,0.8912181848194617
600590,55,1,-0.3570956282255021,0.8048553392367314
600590,651,1,-0.3044440878155977,1.296974056070783
600590,600817,1,-0.277848614428151,1.2989452893607893
600590,837,1,-0.34774144313091127,0.9174613519215834
600590,600537,1,-0.37680256831024045,0.5043679607543696
600590,498,1,-0.37570315513733105,0.47769135878524605
600590,709,1,-0.3995736238326469,0.24931391157815197
600590,300306,1,-0.3202603660639346,1.3746040558228638
600590,600231,0,-0.39811472007036175,0.1828262927388928
600590,603528,0,0,0
600590,2329,1,-0.38382321850979334,0.7967141277134402
600590,2198,0,-0.3566816733120321,0.7785852580325138
600590,601800,0,-0.3255136752990623,1.1989540771150529
600590,600779,0,-0.35147879662638626,0.8338534167219525
600590,601225,1,-0.37595999591421186,0.5068841250929278
600590,600481,0,-0.3640839126783643,0.6973590319474594
600590,2573,0,-0.32923043934846197,1.1713956684349613
600590,2247,1,-0.3622014253783407,0.7172768427765094
600590,895,0,-0.30985455757191194,1.4117832838577054
600590,2686,1,-0.35555323842537806,0.7564268581088782
600590,601118,0,-0.37164917261725816,0.585975153880865
600590,600178,1,-0.36223931653016966,0.722591283976283
600590,600598,0,-0.3436241955833621,0.9901750562904077
600590,2405,1,-0.27920225360850887,2.0166766092617627
600590,600647,1,-0.283124173361017,1.9195811886764362
600590,601588,1,-0.37849488559057526,0.4382405590371793
600590,2651,1,-0.35089046846232946,0.8785286639841672
600590,600801,1,-0.36679407206511916,0.6109394931113676
600590,2451,1,-0.3442871266035685,1.0704559565418807
600590,761,0,-0.3811364243713589,0.47329021892870055
600590,300480,0,-0.33212942534749107,1.3438134701032027
600590,708,1,-0.3544496150855647,0.8961123268482741
600590,2333,0,-0.3711855046392349,0.5873117987561753
600590,603268,0,-0.23875344555357605,2.4904934205929314
600590,928,1,-0.3167124325222387,1.1706845419260372
600590,603686,0,-0.4167578474054706,-0.056266827226329474
600590,300161,1,-0.33110132137629805,1.6662635798614256
600590,791,0,-0.351003405102999,0.869849005952324
600590,300267,1,-0.3472850810025724,0.8283100613833753
600590,300238,1,-0.24466789964113272,2.311455418279342
600590,600808,1,-0.38716144772847594,0.35372206740458967
600590,300184,1,-0.37184717632553793,1.1162677961695282
600590,601933,1,-0.38803211363138673,0.3314930742184142
600590,626,0,-0.4041248986090592,0.5669862542672545
600590,600260,1,-0.3486373396410692,0.9398947632596787
600590,600068,1,-0.36294029619639023,0.6888860613575734
600590,600432,0,-0.34591167399663686,0.9566963037841125
600590,736,1,-0.351103515137236,0.8586787940249622
600590,600230,0,-0.34906896937499104,0.8956397986995351
600590,878,1,-0.37022499857720237,1.0330203680699803
600590,600297,1,-0.35807832311422494,0.7595853294960278
600590,600162,1,-0.3849592376514976,0.3544937178742869
600590,600489,0,-0.35414185861970665,0.7957160361241788
600590,601919,1,-0.3622364676949429,0.6939747823382812
600590,995,1,-0.2873398096030011,1.26902868794903
600590,600583,0,-0.34170340410746114,0.8879659818192629
600590,2168,1,-0.3456309920839748,0.8860218807034602
600590,717,1,-0.38106112839902356,0.4526817786543895
600590,826,0,-0.2350352904664069,2.576251497128399
600590,639,1,-0.3410337508909016,0.7907712047885813
600590,585,1,-0.3820702125012798,0.4304247829775331
600590,881,1,-0.36771589626273704,0.7226023638944501
600590,620,1,-0.3651749254560074,0.5950941632183031
600590,923,1,-0.3072011690690875,1.517585502491736
600590,2556,1,-0.35862480380112777,0.7809866478948796
600590,2141,1,-0.3845907172650997,0.4134406386676513
600590,600787,0,-0.34317159375611933,0.9112064350568804
600590,338,0,-0.35231310553769396,0.7731875650712878
600590,600019,1,-0.3711578457248469,0.5657418637815552
600590,2677,1,-0.3674572916848156,0.600764342497429
600590,603819,0,0,0
600590,601111,1,-0.3752150330257723,0.6566037276349262
600590,600697,0,-0.26650101977572754,1.9835592153471648
600590,600350,1,-0.37822221418601354,0.4531347797477071
600106,603989,0,-0.06103791046811025,3.4683041763423734
600106,2431,1,-0.3023276357120178,1.0966589826027628
600106,906,1,-0.1363709827844668,2.9279721083265997
600106,601636,0,-0.36827525983315634,0.4227861900122449
600106,603300,0,-0.27553457538499754,1.3705941364228726
600106,2597,1,-0.28977707625382576,1.1975565117762186
600106,877,1,-0.3104937570062966,1.029809979224378
600106,600569,1,-0.3610449406259555,0.48780067212563083
600106,2636,0,-0.24975495582285123,2.14576980899532
600106,600520,1,-0.11490260869025001,2.855425575619664
600106,300344,1,-0.28171794046304177,1.2861508560594284
600106,300323,0,-0.2686479101985629,1.2397885014077739
600106,2307,0,-0.2852693575805223,1.2776028631861398
600106,550,0,0.25561968563075554,5.510073492368327
600106,910,1,-0.2186540910300531,1.953051270643945
600106,659,1,-0.32383223467713357,0.8310341352654927
600106,517,1,-0.35116740569308447,0.6096092663099754
600106,2391,1,-0.21884625128955865,1.8871023996156269
600106,600197,1,-0.27809622517211946,1.3088919887471797
600106,2461,1,-0.195939775223718,2.065263025106637
